Esperando vc falar "quero assistir um pipocao so explosao , porrada e testosterona" pra levar velozes e furiosos	Positivo
tipo velozes e furiosos q os cara ja desistiu dos carro e agr so quer sabe de porrada e explosao	Negativo
ontem eu assisti o velozes e furiosos em english ta lgd mas porra ali e so luta e pa e tinha mais explosao q dialogo entao tava suave	Positivo
Meu malvado favorito 3 e explosao de fofura! Eu amo demais hauehsksjdjshd	Positivo
explosao de tnts, era jurassica, encantando coisas, minerando, caindo na lava, parkour, luta, batman vs coringa, homem aranha vs venom	Positivo
esse novo homem aranha o diretor diz que ta chei de ideia... ja comeca errado ai, todo mundo sabe que cinema e explosao carro e mulheril	Negativo
Homem-Aranha de Andrew Garfield acharam exagero a explosao no ceu com o "virus" Lagarto. No novo o pia vira um aviao com a teia e ta td ok!	Negativo
@DanielSFurlan @caitomainier nao assistam homem aranha . Pouca cena de explosao , muito dialogo adolescente e nenhuma cena de alta velocidade	Negativo
eu+voce+pizza+coca-cola+ homem-aranha de volta ao lar= explosao de emocoes	Positivo
@benjaminback Vc viu o comercial de um banco? Quebra tabus, uma menina, futebol e a explosao do GOL! #mulhermaravilha #mulhernofutebol	Neutro
Confirmaram Mulher Maravilha 2	Neutro
na hora que doomsday solta uma explosao o batman sai correndo pra de tras do escudo da mulher maravilha KKKKKKKKKKKKKKKKKKKKKKKK	Neutro
do jeito que e a briga entre defensores do frio x amantes do calor parece que se chegar num consenso o clima vai ser aquele pra sempre	Neutro
Defensores da Cersei passem mais vergonha e por favor n tentem matar ngm em uma explosao	Neutro
mano baywatch eh tao bom serio assistam tem mulher gostosa the rock zac efron se fudendo explosao destruicao em massa annabeth do percy j.	Positivo
Proofe! Seria certo associar os cangaceiros a uma ideia de mercenarios ? Manda beijo aqui pro Sul!! #proenemaovivo @marcelolameirao	Neutro
beijo estilo velozes e furiosos	Neutro
obrigada irma *levanto e beijo o rosto da anabelle , me sento de novo*	Positivo
Um beijo pra quem sonhou com a freira do Invocacao do Mal essa noite e quase morreu de infarto kkkkkkkkk	Positivo
Se eu fosse a Bela do crepusculo n ia ter filme pq amo tanto pao de alho q ia matar meu namorado-vampiro no primeiro beijo	Positivo
Meta de vida e ir com a cremosa na roda gigante e dar aquele beijo do crepusculo laa no topo	Neutro
Quem nasceu Crepusculo ja mais sera Harry Potter. Um beijo de luz pros haters #HarryPotter20	Neutro
Vou tomar banho e ir pro cinema ver Meu Malvado Favorito , beijo .	Neutro
Quer me agradar e me dar beijo na testa, Deus eu fico igual a menininha do meu malvado favorito	Positivo
Um beijo pra quem desistiu da prova de metodos e ta assistindo Meu Malvado Favorito	Positivo
@Letzz12 queria dizer q te odeio por nao ir assistir comigo meu malvado favorito 3, beijo	Neutro
Queria dizer que assisti meu malvado favorito 3, e fiquei apaixonada, beijo beijo	Positivo
hoje eu so queria pegar essa quinta do beijo e assistir a estreia do meu malvado favorito	Positivo
Sdds do beijo dela	Neutro
 Me da um beijo ? Mas eu to gripado.  Deixa de besteira.  E serio.  Na saude e na doenca, lembra?''  Querido John .	Neutro
 Me da um beijo ? Mas eu to gripado.  Deixa de besteira.  E serio.  Na saude e na doenca, lembra?'  Querido John .	Neutro
HAHAHAHAHAHAHAHA UM BEIJO DE HOMEM ARANHA SUA CAVALA	Neutro
"Eu sempre quis dar beijo de homem aranha " kkkkkkk	Neutro
minha amiga ta assistindo the oc e acabou de terminar um ep que teve referencia do beijo de homem aranha fiquei apaixonada que fofo	Positivo
oi bebe me da um beijo pea cada vez que a globo passou homem aranha	Neutro
se eu morrer de passar mal dps das coisas q comi pelo menos vou em paz por saber q cumpri minha meta de dar um beijo estilo homem aranha	Positivo
Grey Worm mandou um beijo pra Mulher Maravilha . O amor e nossa maior fragilidade, e o q motiva nosso heroismo.	Positivo
Mulher maravilha , eu te amo muito , voce nao faz ideia do bem que me faz, do seu sorriso. Me manda um beijo please	Positivo
Beijo tia vera	Positivo
Acho que eu tava quase te deixando O seu beijo sempre acaba complicando Vou ficar mais um pouquinho por enquanto	Positivo
